[2025-04-23 19:42:31,903][       train.py][line: 102][    INFO] load CoOp
[2025-04-23 20:21:18,769][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:21:21,909][       train.py][line: 383][    INFO] Epoch: [110/200]	Iter: [110/200]	Loss 0.37649 (0.37649)	
[2025-04-23 20:21:40,317][       train.py][line: 293][    INFO] (brainmri): Epoch: 110, image auroc: 0.9310,
[2025-04-23 20:21:40,317][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:22:01,687][       train.py][line: 293][    INFO] (brainmri): Epoch: 111, image auroc: 0.9300,
[2025-04-23 20:22:01,687][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:22:23,705][       train.py][line: 293][    INFO] (brainmri): Epoch: 112, image auroc: 0.9300,
[2025-04-23 20:22:23,705][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:22:45,186][       train.py][line: 293][    INFO] (brainmri): Epoch: 113, image auroc: 0.9284,
[2025-04-23 20:22:45,186][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:23:06,565][       train.py][line: 293][    INFO] (brainmri): Epoch: 114, image auroc: 0.9286,
[2025-04-23 20:23:06,565][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:23:28,024][       train.py][line: 293][    INFO] (brainmri): Epoch: 115, image auroc: 0.9274,
[2025-04-23 20:23:28,024][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:23:49,272][       train.py][line: 293][    INFO] (brainmri): Epoch: 116, image auroc: 0.9289,
[2025-04-23 20:23:49,272][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:24:10,556][       train.py][line: 293][    INFO] (brainmri): Epoch: 117, image auroc: 0.9297,
[2025-04-23 20:24:10,557][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:24:31,806][       train.py][line: 293][    INFO] (brainmri): Epoch: 118, image auroc: 0.9298,
[2025-04-23 20:24:31,806][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:24:53,134][       train.py][line: 293][    INFO] (brainmri): Epoch: 119, image auroc: 0.9313,
[2025-04-23 20:24:53,134][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:24:56,328][       train.py][line: 383][    INFO] Epoch: [120/200]	Iter: [120/200]	Loss 0.49292 (0.49292)	
[2025-04-23 20:25:14,692][       train.py][line: 293][    INFO] (brainmri): Epoch: 120, image auroc: 0.9316,
[2025-04-23 20:25:14,692][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:25:36,194][       train.py][line: 293][    INFO] (brainmri): Epoch: 121, image auroc: 0.9321,
[2025-04-23 20:25:36,195][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:25:57,734][       train.py][line: 293][    INFO] (brainmri): Epoch: 122, image auroc: 0.9253,
[2025-04-23 20:25:57,734][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:26:19,757][       train.py][line: 293][    INFO] (brainmri): Epoch: 123, image auroc: 0.9258,
[2025-04-23 20:26:19,757][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:26:41,295][       train.py][line: 293][    INFO] (brainmri): Epoch: 124, image auroc: 0.9260,
[2025-04-23 20:26:41,295][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:27:02,984][       train.py][line: 293][    INFO] (brainmri): Epoch: 125, image auroc: 0.9266,
[2025-04-23 20:27:02,984][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:27:24,319][       train.py][line: 293][    INFO] (brainmri): Epoch: 126, image auroc: 0.9277,
[2025-04-23 20:27:24,319][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:27:45,779][       train.py][line: 293][    INFO] (brainmri): Epoch: 127, image auroc: 0.9304,
[2025-04-23 20:27:45,779][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:28:07,180][       train.py][line: 293][    INFO] (brainmri): Epoch: 128, image auroc: 0.9299,
[2025-04-23 20:28:07,180][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:28:28,737][       train.py][line: 293][    INFO] (brainmri): Epoch: 129, image auroc: 0.9298,
[2025-04-23 20:28:28,737][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:28:31,940][       train.py][line: 383][    INFO] Epoch: [130/200]	Iter: [130/200]	Loss 0.56172 (0.56172)	
[2025-04-23 20:28:50,407][       train.py][line: 293][    INFO] (brainmri): Epoch: 130, image auroc: 0.9284,
[2025-04-23 20:28:50,407][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:29:11,924][       train.py][line: 293][    INFO] (brainmri): Epoch: 131, image auroc: 0.9283,
[2025-04-23 20:29:11,925][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:29:33,439][       train.py][line: 293][    INFO] (brainmri): Epoch: 132, image auroc: 0.9284,
[2025-04-23 20:29:33,440][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:29:54,947][       train.py][line: 293][    INFO] (brainmri): Epoch: 133, image auroc: 0.9279,
[2025-04-23 20:29:54,947][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:30:16,568][       train.py][line: 293][    INFO] (brainmri): Epoch: 134, image auroc: 0.9291,
[2025-04-23 20:30:16,568][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:30:37,924][       train.py][line: 293][    INFO] (brainmri): Epoch: 135, image auroc: 0.9265,
[2025-04-23 20:30:37,924][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:30:59,262][       train.py][line: 293][    INFO] (brainmri): Epoch: 136, image auroc: 0.9275,
[2025-04-23 20:30:59,262][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:31:21,011][       train.py][line: 293][    INFO] (brainmri): Epoch: 137, image auroc: 0.9313,
[2025-04-23 20:31:21,011][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:31:42,486][       train.py][line: 293][    INFO] (brainmri): Epoch: 138, image auroc: 0.9308,
[2025-04-23 20:31:42,486][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:32:03,890][       train.py][line: 293][    INFO] (brainmri): Epoch: 139, image auroc: 0.9304,
[2025-04-23 20:32:03,891][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:32:06,660][       train.py][line: 383][    INFO] Epoch: [140/200]	Iter: [140/200]	Loss 0.56140 (0.56140)	
[2025-04-23 20:32:25,121][       train.py][line: 293][    INFO] (brainmri): Epoch: 140, image auroc: 0.9318,
[2025-04-23 20:32:25,121][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:32:46,366][       train.py][line: 293][    INFO] (brainmri): Epoch: 141, image auroc: 0.9303,
[2025-04-23 20:32:46,367][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:33:07,886][       train.py][line: 293][    INFO] (brainmri): Epoch: 142, image auroc: 0.9295,
[2025-04-23 20:33:07,886][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:33:29,559][       train.py][line: 293][    INFO] (brainmri): Epoch: 143, image auroc: 0.9274,
[2025-04-23 20:33:29,559][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:33:50,920][       train.py][line: 293][    INFO] (brainmri): Epoch: 144, image auroc: 0.9202,
[2025-04-23 20:33:50,920][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:34:12,233][       train.py][line: 293][    INFO] (brainmri): Epoch: 145, image auroc: 0.9169,
[2025-04-23 20:34:12,233][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:34:33,832][       train.py][line: 293][    INFO] (brainmri): Epoch: 146, image auroc: 0.9159,
[2025-04-23 20:34:33,832][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:34:55,365][       train.py][line: 293][    INFO] (brainmri): Epoch: 147, image auroc: 0.9221,
[2025-04-23 20:34:55,365][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:35:16,769][       train.py][line: 293][    INFO] (brainmri): Epoch: 148, image auroc: 0.9238,
[2025-04-23 20:35:16,770][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:35:38,446][       train.py][line: 293][    INFO] (brainmri): Epoch: 149, image auroc: 0.9249,
[2025-04-23 20:35:38,446][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:35:41,201][       train.py][line: 383][    INFO] Epoch: [150/200]	Iter: [150/200]	Loss 0.48429 (0.48429)	
[2025-04-23 20:35:59,676][       train.py][line: 293][    INFO] (brainmri): Epoch: 150, image auroc: 0.9266,
[2025-04-23 20:35:59,677][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:36:21,433][       train.py][line: 293][    INFO] (brainmri): Epoch: 151, image auroc: 0.9298,
[2025-04-23 20:36:21,433][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:36:43,145][       train.py][line: 293][    INFO] (brainmri): Epoch: 152, image auroc: 0.9302,
[2025-04-23 20:36:43,145][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:37:04,713][       train.py][line: 293][    INFO] (brainmri): Epoch: 153, image auroc: 0.9263,
[2025-04-23 20:37:04,713][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:37:26,227][       train.py][line: 293][    INFO] (brainmri): Epoch: 154, image auroc: 0.9256,
[2025-04-23 20:37:26,227][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:37:47,713][       train.py][line: 293][    INFO] (brainmri): Epoch: 155, image auroc: 0.9219,
[2025-04-23 20:37:47,713][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:38:09,212][       train.py][line: 293][    INFO] (brainmri): Epoch: 156, image auroc: 0.9191,
[2025-04-23 20:38:09,212][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:38:30,542][       train.py][line: 293][    INFO] (brainmri): Epoch: 157, image auroc: 0.9185,
[2025-04-23 20:38:30,543][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:38:51,848][       train.py][line: 293][    INFO] (brainmri): Epoch: 158, image auroc: 0.9188,
[2025-04-23 20:38:51,848][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:39:13,309][       train.py][line: 293][    INFO] (brainmri): Epoch: 159, image auroc: 0.9210,
[2025-04-23 20:39:13,310][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:39:16,577][       train.py][line: 383][    INFO] Epoch: [160/200]	Iter: [160/200]	Loss 0.51716 (0.51716)	
[2025-04-23 20:39:35,035][       train.py][line: 293][    INFO] (brainmri): Epoch: 160, image auroc: 0.9244,
[2025-04-23 20:39:35,035][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:39:56,438][       train.py][line: 293][    INFO] (brainmri): Epoch: 161, image auroc: 0.9282,
[2025-04-23 20:39:56,438][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:40:18,411][       train.py][line: 293][    INFO] (brainmri): Epoch: 162, image auroc: 0.9306,
[2025-04-23 20:40:18,411][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:40:39,720][       train.py][line: 293][    INFO] (brainmri): Epoch: 163, image auroc: 0.9286,
[2025-04-23 20:40:39,720][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:41:01,127][       train.py][line: 293][    INFO] (brainmri): Epoch: 164, image auroc: 0.9274,
[2025-04-23 20:41:01,127][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:41:23,167][       train.py][line: 293][    INFO] (brainmri): Epoch: 165, image auroc: 0.9267,
[2025-04-23 20:41:23,167][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:41:44,698][       train.py][line: 293][    INFO] (brainmri): Epoch: 166, image auroc: 0.9228,
[2025-04-23 20:41:44,698][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:42:06,128][       train.py][line: 293][    INFO] (brainmri): Epoch: 167, image auroc: 0.9214,
[2025-04-23 20:42:06,128][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:42:27,501][       train.py][line: 293][    INFO] (brainmri): Epoch: 168, image auroc: 0.9225,
[2025-04-23 20:42:27,502][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:42:48,906][       train.py][line: 293][    INFO] (brainmri): Epoch: 169, image auroc: 0.9225,
[2025-04-23 20:42:48,906][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:42:51,866][       train.py][line: 383][    INFO] Epoch: [170/200]	Iter: [170/200]	Loss 0.37344 (0.37344)	
[2025-04-23 20:43:10,250][       train.py][line: 293][    INFO] (brainmri): Epoch: 170, image auroc: 0.9240,
[2025-04-23 20:43:10,250][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:43:31,671][       train.py][line: 293][    INFO] (brainmri): Epoch: 171, image auroc: 0.9247,
[2025-04-23 20:43:31,671][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:43:53,067][       train.py][line: 293][    INFO] (brainmri): Epoch: 172, image auroc: 0.9253,
[2025-04-23 20:43:53,067][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:44:14,333][       train.py][line: 293][    INFO] (brainmri): Epoch: 173, image auroc: 0.9251,
[2025-04-23 20:44:14,333][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:44:35,739][       train.py][line: 293][    INFO] (brainmri): Epoch: 174, image auroc: 0.9250,
[2025-04-23 20:44:35,739][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:44:57,125][       train.py][line: 293][    INFO] (brainmri): Epoch: 175, image auroc: 0.9241,
[2025-04-23 20:44:57,126][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:45:18,711][       train.py][line: 293][    INFO] (brainmri): Epoch: 176, image auroc: 0.9274,
[2025-04-23 20:45:18,712][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:45:40,237][       train.py][line: 293][    INFO] (brainmri): Epoch: 177, image auroc: 0.9293,
[2025-04-23 20:45:40,237][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:46:01,940][       train.py][line: 293][    INFO] (brainmri): Epoch: 178, image auroc: 0.9271,
[2025-04-23 20:46:01,940][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:46:23,869][       train.py][line: 293][    INFO] (brainmri): Epoch: 179, image auroc: 0.9332,
[2025-04-23 20:46:23,869][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:46:27,016][       train.py][line: 383][    INFO] Epoch: [180/200]	Iter: [180/200]	Loss 1.00197 (1.00197)	
[2025-04-23 20:46:45,532][       train.py][line: 293][    INFO] (brainmri): Epoch: 180, image auroc: 0.9345,
[2025-04-23 20:46:45,532][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:47:06,741][       train.py][line: 293][    INFO] (brainmri): Epoch: 181, image auroc: 0.9339,
[2025-04-23 20:47:06,741][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:47:28,103][       train.py][line: 293][    INFO] (brainmri): Epoch: 182, image auroc: 0.9319,
[2025-04-23 20:47:28,103][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:47:49,821][       train.py][line: 293][    INFO] (brainmri): Epoch: 183, image auroc: 0.9331,
[2025-04-23 20:47:49,821][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:48:11,372][       train.py][line: 293][    INFO] (brainmri): Epoch: 184, image auroc: 0.9331,
[2025-04-23 20:48:11,372][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:48:32,762][       train.py][line: 293][    INFO] (brainmri): Epoch: 185, image auroc: 0.9326,
[2025-04-23 20:48:32,763][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:48:54,032][       train.py][line: 293][    INFO] (brainmri): Epoch: 186, image auroc: 0.9329,
[2025-04-23 20:48:54,032][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:49:15,351][       train.py][line: 293][    INFO] (brainmri): Epoch: 187, image auroc: 0.9314,
[2025-04-23 20:49:15,351][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:49:36,639][       train.py][line: 293][    INFO] (brainmri): Epoch: 188, image auroc: 0.9319,
[2025-04-23 20:49:36,639][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:49:57,953][       train.py][line: 293][    INFO] (brainmri): Epoch: 189, image auroc: 0.9333,
[2025-04-23 20:49:57,953][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:50:00,717][       train.py][line: 383][    INFO] Epoch: [190/200]	Iter: [190/200]	Loss 0.67205 (0.67205)	
[2025-04-23 20:50:20,133][       train.py][line: 293][    INFO] (brainmri): Epoch: 190, image auroc: 0.9318,
[2025-04-23 20:50:20,133][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:50:41,486][       train.py][line: 293][    INFO] (brainmri): Epoch: 191, image auroc: 0.9325,
[2025-04-23 20:50:41,486][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:51:02,886][       train.py][line: 293][    INFO] (brainmri): Epoch: 192, image auroc: 0.9322,
[2025-04-23 20:51:02,886][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:51:24,529][       train.py][line: 293][    INFO] (brainmri): Epoch: 193, image auroc: 0.9332,
[2025-04-23 20:51:24,529][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:51:46,143][       train.py][line: 293][    INFO] (brainmri): Epoch: 194, image auroc: 0.9340,
[2025-04-23 20:51:46,143][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:52:07,738][       train.py][line: 293][    INFO] (brainmri): Epoch: 195, image auroc: 0.9334,
[2025-04-23 20:52:07,738][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:52:29,315][       train.py][line: 293][    INFO] (brainmri): Epoch: 196, image auroc: 0.9329,
[2025-04-23 20:52:29,315][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:52:50,653][       train.py][line: 293][    INFO] (brainmri): Epoch: 197, image auroc: 0.9328,
[2025-04-23 20:52:50,654][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:53:12,194][       train.py][line: 293][    INFO] (brainmri): Epoch: 198, image auroc: 0.9332,
[2025-04-23 20:53:12,194][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:53:33,618][       train.py][line: 293][    INFO] (brainmri): Epoch: 199, image auroc: 0.9316,
[2025-04-23 20:53:33,619][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
[2025-04-23 20:53:36,374][       train.py][line: 383][    INFO] Epoch: [200/200]	Iter: [200/200]	Loss 0.35941 (0.35941)	
[2025-04-23 20:53:55,085][       train.py][line: 293][    INFO] (brainmri): Epoch: 200, image auroc: 0.9318,
[2025-04-23 20:53:55,085][       train.py][line: 311][    INFO] (brainmri best): image auroc: 0.9361,
